B0101 B0101,0.0 0.0,0.0 0.0.1,INDIA INDIA,Total Total,10-14 15-19,132709212.0 120526449.0,69418835.0 63982396.0,63290377.0 56544053.0,3244439.0 17703310.0,2033172.0 12721891.0,1211267.0 4981419.0,1542262.0 3054963.0,779362.0 1645507.0,762900.0 1409456.0,2808324.0 9458107.0,1450309.0 5330282.0,1358015.0 4127825.0,1263407.0 6501739.0,726515.0 4165965.0,536892.0 2335774.0,125114187.0 90310069.0,65155992.0 44284716.0,59958195.0 46025353.0,2853891.0 15134928.0,1577333.0 8423500.0,1276558.0 6711428.0
B0101,0.0,0.0,INDIA,Total,20-24,111424222.0,57584693.0,53839529.0,38664170.0,28977411.0,9686759.0,3026931.0,1519224.0,1507707.0,13773259.0,7501893.0,6271366.0,9578750.0,6126314.0,3452436.0,55959862.0,19586165.0,36373697.0,15763566.0,7602474.0,8161092.0
B0101,0.0,0.0,INDIA,Total,25-29,101413965.0,51344208.0,50069757.0,48666298.0,36901575.0,11764723.0,2565240.0,1145550.0,1419690.0,13228373.0,6786348.0,6442025.0,8560839.0,5250800.0,3310039.0,36954054.0,6510735.0,30443319.0,9133775.0,3057158.0,6076617.0
B0101,0.0,0.0,INDIA,Total,30-34,88594951.0,44660674.0,43934277.0,47152411.0,35600323.0,11552088.0,2161959.0,872943.0,1289016.0,11472953.0,5475976.0,5996977.0,6956395.0,4069257.0,2887138.0,27807628.0,2711432.0,25096196.0,5101348.0,1115810.0,3985538.0
B0101,0.0,0.0,INDIA,Total,35-39,85140684.0,42919381.0,42221303.0,47503671.0,35372529.0,12131142.0,2034963.0,794171.0,1240792.0,10870196.0,5005130.0,5865066.0,6337718.0,3618140.0,2719578.0,24731854.0,1747551.0,22984303.0,3839253.0,595714.0,3243539.0
B0101,0.0,0.0,INDIA,Total,40-49,134756439.0,69683500.0,65072939.0,77295643.0,58397073.0,18898570.0,3060740.0,1198933.0,1861807.0,16216156.0,7416270.0,8799886.0,8601272.0,4954681.0,3646591.0,38183900.0,2671224.0,35512676.0,4210096.0,652220.0,3557876.0
B0101,0.0,0.0,INDIA,Total,50-59,88215309.0,45299278.0,42916031.0,47440004.0,36456219.0,10983785.0,2017611.0,799649.0,1217962.0,9585365.0,4428473.0,5156892.0,4270417.0,2498131.0,1772286.0,29172329.0,3614937.0,25557392.0,1870576.0,414608.0,1455968.0
B0101,0.0,0.0,INDIA,Total,60-69,64118690.0,31646075.0,32472615.0,23840363.0,18216604.0,5623759.0,1625481.0,750244.0,875237.0,6009738.0,3120663.0,2889075.0,2241529.0,1398142.0,843387.0,32643108.0,9558564.0,23084544.0,1174598.0,421518.0,753080.0
B0101,0.0,0.0,INDIA,Total,70-79,28441345.0,14142102.0,14299243.0,6917739.0,5560331.0,1357408.0,583408.0,327584.0,255824.0,1717899.0,1036324.0,681575.0,515953.0,351926.0,164027.0,19222299.0,7217863.0,12004436.0,319143.0,133677.0,185466.0
B0101,0.0,0.0,INDIA,Total,80+,11289005.0,5283695.0,6005310.0,1850952.0,1463786.0,387166.0,162259.0,94368.0,67891.0,485503.0,285648.0,199855.0,157989.0,102790.0,55199.0,8790291.0,3439893.0,5350398.0,115186.0,46788.0,68398.0
B0101,0.0,0.0,INDIA,Total,Age not stated,4489802.0,2372881.0,2116921.0,1177763.0,878187.0,299576.0,65112.0,32251.0,32861.0,371665.0,197600.0,174065.0,162432.0,100859.0,61573.0,2875262.0,1264843.0,1610419.0,108256.0,53118.0,55138.0
B0101,0.0,0.0,INDIA,Total,15-59,730072019.0,375474130.0,354597889.0,324425507.0,244427021.0,79998486.0,17922407.0,7975977.0,9946430.0,84604409.0,41944372.0,42660037.0,50807130.0,30683288.0,20123842.0,303119696.0,81126760.0,221992936.0,55053542.0,21861484.0,33192058.0
B0101,0.0,0.0,INDIA,Total,60+,103849040.0,51071872.0,52777168.0,32609054.0,25240721.0,7368333.0,2371148.0,1172196.0,1198952.0,8213140.0,4442635.0,3770505.0,2915471.0,1852858.0,1062613.0,60655698.0,20216320.0,40439378.0,1608927.0,601983.0,1006944.0
B0101,0.0,0.0,INDIA,Rural,Total,833748852.0,427781058.0,405967794.0,245868421.0,178095330.0,67773091.0,19822660.0,8697104.0,11125556.0,83052011.0,40044579.0,43007432.0,48332810.0,28802771.0,19530039.0,485005760.0,200944045.0,284061715.0,38254008.0,15370813.0,22883195.0
B0101,0.0,0.0,INDIA,Rural,5-9,93807612.0,48825259.0,44982353.0,807814.0,452342.0,355472.0,339420.0,170481.0,168939.0,738745.0,379884.0,358861.0,233906.0,126235.0,107671.0,91921633.0,47822552.0,44099081.0,769746.0,406387.0,363359.0
B0101,0.0,0.0,INDIA,Rural,10-14,96804494.0,50488158.0,46316336.0,2461196.0,1490267.0,970929.0,1473286.0,738874.0,734412.0,2281880.0,1158211.0,1123669.0,1059224.0,604721.0,454503.0,90588132.0,47100806.0,43487326.0,2084893.0,1140156.0,944737.0
B0101,0.0,0.0,INDIA,Rural,15-19,83902472.0,44570557.0,39331915.0,13265532.0,9213257.0,4052275.0,2812087.0,1483554.0,1328533.0,8147451.0,4499043.0,3648408.0,5681644.0,3610314.0,2071330.0,59677402.0,29374703.0,30302699.0,10312059.0,5709844.0,4602215.0
