state,area_name
0,India
1,State - JAMMU & KASHMIR (01)
2,State - HIMACHAL PRADESH (02)
3,State - PUNJAB (03)
4,State - CHANDIGARH (04)
5,State - UTTARAKHAND (05)
6,State - HARYANA (06)
7,State - NCT OF DELHI (07)
8,State - RAJASTHAN (08)
9,State - UTTAR PRADESH (09)
10,State - BIHAR (10)
11,State - SIKKIM (11)
12,State - ARUNACHAL PRADESH (12)
13,State - NAGALAND (13)
14,State - MANIPUR (14)
15,State - MIZORAM (15)
16,State - TRIPURA (16)
17,State - MEGHALAYA (17)
18,State - ASSAM (18)
19,State - WEST BENGAL (19)
20,State - JHARKHAND (20)
21,State - ODISHA (21)
22,State - CHHATTISGARH (22)
23,State - MADHYA PRADESH (23)
24,State - GUJARAT (24)
25,State - DAMAN & DIU (25)
26,State - DADRA & NAGAR HAVELI (26)
27,State - MAHARASHTRA (27)
28,State - ANDHRA PRADESH (28)
29,State - KARNATAKA (29)
30,State - GOA (30)
31,State - LAKSHADWEEP (31)
32,State - KERALA (32)
33,State - TAMIL NADU (33)
34,State - PUDUCHERRY (34)
35,State - ANDAMAN & NICOBAR ISLANDS (35)
